包,武将,势力,体力,技能1,技能1说明,技能2,技能2说明,技能3,技能3说明,技能4,技能4说明
基本版,曹操,魏,4,奸雄,受到伤害后，可获得造成此伤害的牌。,护驾,主公技。需要使用或打出闪时，可令其他魏势力角色替你打出一张闪。,,,,
基本版,司马懿,魏,3,反馈,受到伤害后，可获得伤害来源的一张牌。,鬼才,任意角色的判定牌生效前，可打出一张手牌替换之。,,,,
基本版,夏侯惇,魏,4,刚烈,受到伤害后可判定，若结果不为红桃，则伤害来源二选一：弃两张手牌，或受到你造成的1点伤害。,,,,,,
基本版,张辽,魏,4,突袭,摸牌阶段，可放弃正常摸牌，改为获得至多两名其他角色各一张手牌。,,,,,,
基本版,许褚,魏,4,裸衣,摸牌阶段可少摸一张牌，本回合你使用的杀或决斗造成的伤害+1。,,,,,,
基本版,郭嘉,魏,3,天妒,你的判定牌生效后，可获得该牌。,遗计,每受到1点伤害，可观看牌堆顶两张牌，并任意分配给角色。,,,,
基本版,甄姬,魏,3,倾国,可将一张黑色手牌当闪使用或打出。,洛神,准备阶段可连续判定，黑色判定牌生效后获得之，直到出现红色为止。,,,,
基本版,刘备,蜀,4,仁德,出牌阶段可将任意张手牌交给其他角色；本阶段首次累计给出两张或更多牌时，回复1点体力。,激将,主公技。需要使用或打出杀时，可令其他蜀势力角色替你打出一张杀。,,,,
基本版,关羽,蜀,4,武圣,可将一张红色牌当杀使用或打出。,,,,,,
基本版,张飞,蜀,4,咆哮,锁定技。出牌阶段使用杀无次数限制。,,,,,,
基本版,诸葛亮,蜀,3,观星,准备阶段观看牌堆顶X张牌并按任意顺序放回牌堆顶或牌堆底，X为存活角色数且最多为5。,空城,锁定技。若你没有手牌，不能成为杀或决斗的目标。,,,,
基本版,赵云,蜀,4,龙胆,可将杀当闪、闪当杀使用或打出。,,,,,,
基本版,马超,蜀,4,马术,锁定技。你与其他角色的距离-1。,铁骑,使用杀指定目标后可判定，若为红色，该角色不能使用闪响应此杀。,,,,
基本版,黄月英,蜀,3,集智,使用一张非延时锦囊后，可摸一张牌。,奇才,锁定技。你使用锦囊牌无距离限制。,,,,
基本版,孙权,吴,4,制衡,出牌阶段限一次，可弃置任意张牌并摸等量的牌。,救援,主公技。锁定技。其他吴势力角色对你使用桃时，你额外回复1点体力。,,,,
基本版,甘宁,吴,4,奇袭,可将一张黑色牌当过河拆桥使用。,,,,,,
基本版,吕蒙,吴,4,克己,若你本回合未使用或打出过杀，可跳过弃牌阶段。,,,,,,
基本版,黄盖,吴,4,苦肉,出牌阶段可失去1点体力，然后摸两张牌。,,,,,,
基本版,周瑜,吴,3,英姿,摸牌阶段可额外摸一张牌。,反间,出牌阶段限一次，令一名其他角色声明花色并获得你的一张手牌；若花色不符，你对其造成1点伤害。,,,,
基本版,大乔,吴,3,国色,可将一张方片牌当乐不思蜀使用。,流离,成为杀的目标时，可弃一张牌并将此杀转移给你攻击范围内的另一名其他角色。,,,,
基本版,陆逊,吴,3,谦逊,锁定技。你不能成为顺手牵羊或乐不思蜀的目标。,连营,失去最后的手牌后，可摸一张牌。,,,,
基本版,孙尚香,吴,3,结姻,出牌阶段限一次，可弃两张手牌并令一名已受伤男性角色与你各回复1点体力。,枭姬,失去装备区的一张牌后，可摸两张牌。,,,,
基本版,华佗,群,3,急救,你的回合外，可将一张红色牌当桃使用。,青囊,出牌阶段限一次，可弃一张手牌并令一名已受伤角色回复1点体力。,,,,
基本版,吕布,群,4,无双,锁定技。你使用的杀需要两张闪响应；与你进行决斗的角色每次需打出两张杀。,,,,,,
基本版,貂蝉,群,3,离间,出牌阶段限一次，可弃一张牌并令两名其他男性角色进行一次决斗。,闭月,结束阶段可摸一张牌。,,,,
风,夏侯渊,魏,4,神速,可选择一至两项：跳过判定阶段和摸牌阶段；或跳过出牌阶段并弃一张装备牌。每选一项，视为使用一张杀。,,,,,,
风,曹仁,魏,4,据守,结束阶段可摸三张牌，然后将武将牌翻面。,,,,,,
风,黄忠,蜀,4,烈弓,你使用杀指定目标后，若其手牌数不少于你的体力值，或不大于你的攻击范围，则其不能使用闪响应此杀。,,,,,,
风,魏延,蜀,4,狂骨,你对距离1以内的角色造成1点伤害后，可回复1点体力。,,,,,,
风,小乔,吴,3,天香,受到伤害时，可弃一张红桃手牌并选择一名其他角色，将此伤害转移给其，然后该角色摸X张牌，X为其已损失体力值。,红颜,锁定技。你的黑桃牌均视为红桃牌。,,,,
风,周泰,吴,4,不屈,当你处于濒死时，展示牌堆顶一张牌并置于武将牌上称为“创”；只要这些“创”的点数各不相同，你便不会死亡。,,,,,,
风,张角,群,3,雷击,使用或打出闪后，可令一名角色判定；若为黑桃，对其造成2点雷电伤害。,鬼道,任意角色的判定牌生效前，可打出一张黑色牌替换之。,黄天,主公技。其他群势力角色出牌阶段限一次，可交给你一张闪或闪电。,,
火,典韦,魏,4,强袭,出牌阶段限一次，可弃一张武器牌或失去1点体力，对攻击范围内一名角色造成1点伤害。,,,,,,
火,荀彧,魏,3,驱虎,出牌阶段限一次，可与一名体力值大于你的角色拼点；若你赢，令其对其攻击范围内由你指定的另一名角色使用一张杀，否则其对你造成1点伤害。,节命,每受到1点伤害，可令一名角色将手牌摸至其体力上限。,,,,
火,庞统,蜀,3,连环,可将一张梅花手牌当铁索连环使用或重铸。,涅槃,限定技。处于濒死时，可弃置区域内所有牌并重置状态，然后摸三张牌并将体力回复至3点。,,,,
火,太史慈,吴,4,天义,出牌阶段限一次，可与一名角色拼点。若你赢，本回合你使用杀无距离限制、可额外指定一个目标且可多使用一张杀；若你没赢，本回合不能使用杀。,,,,,,
火,袁绍,群,4,乱击,可将两张相同花色的手牌当万箭齐发使用。,血裔,主公技。锁定技。其他群势力角色每存在一名，你的手牌上限便+2。,,,,
火,颜良文丑,群,4,双雄,摸牌阶段可放弃摸牌并改为判定，获得判定牌；本回合可将与该判定牌颜色不同的一张手牌当决斗使用。,,,,,,
火,庞德,群,4,马术,锁定技。你与其他角色的距离-1。,猛进,使用的杀被闪抵消后，可弃置该目标的一张牌。,,,,
山,张郃,魏,4,巧变,可弃一张手牌并跳过一个阶段。若跳过摸牌阶段，可获得至多两名其他角色各一张手牌；若跳过出牌阶段，可移动场上的一张牌。,,,,,,
山,刘禅,蜀,3,享乐,锁定技。成为杀的目标后，使用者须弃一张基本牌，否则此杀对你无效。,放权,可跳过出牌阶段；若如此做，回合结束时可弃一张手牌并令一名其他角色立即获得一个额外回合。,若愚,主公技，觉醒技。准备阶段，若你的体力值为全场最少，你增加1点体力上限、回复1点体力，并获得“激将”。,,
山,蔡文姬,群,3,悲歌,一名角色每受到杀造成的伤害后，你可弃一张牌，令其判定：红桃回复1点体力，方片摸两张牌，梅花伤害来源弃两张牌，黑桃伤害来源翻面。,断肠,锁定技。你死亡时，杀死你的角色失去其所有武将技能。,,,,
