card_id,image_key,title,art_file,frame_template,show_rank_suit,show_range_badge,range_value,badge_text,notes
sha,sha,杀,assets/cards/art/杀.png,basic,True,False,,,文件名使用中文牌名
huosha,huosha,火杀,assets/cards/art/火杀.png,basic,True,False,,,文件名使用中文牌名
leisha,leisha,雷杀,assets/cards/art/雷杀.png,basic,True,False,,,文件名使用中文牌名
shan,shan,闪,assets/cards/art/闪.png,basic,True,False,,,文件名使用中文牌名
tao,tao,桃,assets/cards/art/桃.png,basic,True,False,,,文件名使用中文牌名
jiu,jiu,酒,assets/cards/art/酒.png,basic,True,False,,,文件名使用中文牌名
taoyuanjieyi,taoyuanjieyi,桃园结义,assets/cards/art/桃园结义.png,trick,True,False,,,文件名使用中文牌名
wanjianqifa,wanjianqifa,万箭齐发,assets/cards/art/万箭齐发.png,trick,True,False,,,文件名使用中文牌名
wugufengdeng,wugufengdeng,五谷丰登,assets/cards/art/五谷丰登.png,trick,True,False,,,文件名使用中文牌名
juedou,juedou,决斗,assets/cards/art/决斗.png,trick,True,False,,,文件名使用中文牌名
guohechaiqiao,guohechaiqiao,过河拆桥,assets/cards/art/过河拆桥.png,trick,True,False,,,文件名使用中文牌名
shunshouqianyang,shunshouqianyang,顺手牵羊,assets/cards/art/顺手牵羊.png,trick,True,False,,,文件名使用中文牌名
wuzhongshengyou,wuzhongshengyou,无中生有,assets/cards/art/无中生有.png,trick,True,False,,,文件名使用中文牌名
wuxiekeji,wuxiekeji,无懈可击,assets/cards/art/无懈可击.png,trick,True,False,,,文件名使用中文牌名
nanmanruqin,nanmanruqin,南蛮入侵,assets/cards/art/南蛮入侵.png,trick,True,False,,,文件名使用中文牌名
jiedaosharen,jiedaosharen,借刀杀人,assets/cards/art/借刀杀人.png,trick,True,False,,,文件名使用中文牌名
huogong,huogong,火攻,assets/cards/art/火攻.png,trick,True,False,,,文件名使用中文牌名
tiesuolianhuan,tiesuolianhuan,铁索连环,assets/cards/art/铁索连环.png,trick,True,False,,,文件名使用中文牌名
lebusishu,lebusishu,乐不思蜀,assets/cards/art/乐不思蜀.png,delayed_trick,True,False,,延时锦囊,文件名使用中文牌名
shandian,shandian,闪电,assets/cards/art/闪电.png,delayed_trick,True,False,,延时锦囊,文件名使用中文牌名
bingliangcunduan,bingliangcunduan,兵粮寸断,assets/cards/art/兵粮寸断.png,delayed_trick,True,False,,延时锦囊,文件名使用中文牌名
zhuge_liannu,zhuge_liannu,诸葛连弩,assets/cards/art/诸葛连弩.png,weapon,True,True,1,,文件名使用中文牌名
cixiong_shuanggujian,cixiong_shuanggujian,雌雄双股剑,assets/cards/art/雌雄双股剑.png,weapon,True,True,2,,文件名使用中文牌名
qinggangjian,qinggangjian,青釭剑,assets/cards/art/青釭剑.png,weapon,True,True,2,,文件名使用中文牌名
qinglong_yanyuedao,qinglong_yanyuedao,青龙偃月刀,assets/cards/art/青龙偃月刀.png,weapon,True,True,3,,文件名使用中文牌名
zhangba_shemao,zhangba_shemao,丈八蛇矛,assets/cards/art/丈八蛇矛.png,weapon,True,True,3,,文件名使用中文牌名
guanshifu,guanshifu,贯石斧,assets/cards/art/贯石斧.png,weapon,True,True,3,,文件名使用中文牌名
fangtian_huaji,fangtian_huaji,方天画戟,assets/cards/art/方天画戟.png,weapon,True,True,4,,文件名使用中文牌名
qilingong,qilingong,麒麟弓,assets/cards/art/麒麟弓.png,weapon,True,True,5,,文件名使用中文牌名
hanbingjian,hanbingjian,寒冰剑,assets/cards/art/寒冰剑.png,weapon,True,True,2,,文件名使用中文牌名
gudingdao,gudingdao,古锭刀,assets/cards/art/古锭刀.png,weapon,True,True,2,,文件名使用中文牌名
zhuque_yushan,zhuque_yushan,朱雀羽扇,assets/cards/art/朱雀羽扇.png,weapon,True,True,4,,文件名使用中文牌名
baguazhen,baguazhen,八卦阵,assets/cards/art/八卦阵.png,armor,True,False,,,文件名使用中文牌名
renwangdun,renwangdun,仁王盾,assets/cards/art/仁王盾.png,armor,True,False,,,文件名使用中文牌名
tengjia,tengjia,藤甲,assets/cards/art/藤甲.png,armor,True,False,,,文件名使用中文牌名
baiyinshizi,baiyinshizi,白银狮子,assets/cards/art/白银狮子.png,armor,True,False,,,文件名使用中文牌名
chitu,chitu,赤兔,assets/cards/art/赤兔.png,horse_minus,True,False,,-1坐骑,文件名使用中文牌名
dayuan,dayuan,大宛,assets/cards/art/大宛.png,horse_minus,True,False,,-1坐骑,文件名使用中文牌名
zixing,zixing,紫骍,assets/cards/art/紫骍.png,horse_minus,True,False,,-1坐骑,文件名使用中文牌名
dilu,dilu,的卢,assets/cards/art/的卢.png,horse_plus,True,False,,+1坐骑,文件名使用中文牌名
juahuangfeidian,juahuangfeidian,爪黄飞电,assets/cards/art/爪黄飞电.png,horse_plus,True,False,,+1坐骑,文件名使用中文牌名
jueying,jueying,绝影,assets/cards/art/绝影.png,horse_plus,True,False,,+1坐骑,文件名使用中文牌名
hualiu,hualiu,骅骝,assets/cards/art/骅骝.png,horse_plus,True,False,,+1坐骑,文件名使用中文牌名
