instance_id,pack,is_ex_card,name,suit_symbol,suit,rank,color,category,subtype,image_key
standard_heart_A_桃园结义_1,标准包,否,桃园结义,♥,红桃,A,红色,锦囊牌,普通锦囊 / 群体,taoyuanjieyi
standard_heart_A_万箭齐发_1,标准包,否,万箭齐发,♥,红桃,A,红色,锦囊牌,普通锦囊 / 群体,wanjianqifa
standard_heart_2_闪_1,标准包,否,闪,♥,红桃,2,红色,基本牌,响应牌,shan
standard_heart_2_闪_2,标准包,否,闪,♥,红桃,2,红色,基本牌,响应牌,shan
standard_heart_3_桃_1,标准包,否,桃,♥,红桃,3,红色,基本牌,回复牌,tao
standard_heart_3_五谷丰登_1,标准包,否,五谷丰登,♥,红桃,3,红色,锦囊牌,普通锦囊 / 群体,wugufengdeng
standard_heart_4_桃_1,标准包,否,桃,♥,红桃,4,红色,基本牌,回复牌,tao
standard_heart_4_五谷丰登_1,标准包,否,五谷丰登,♥,红桃,4,红色,锦囊牌,普通锦囊 / 群体,wugufengdeng
standard_heart_5_麒麟弓_1,标准包,否,麒麟弓,♥,红桃,5,红色,装备牌,武器,qilingong
standard_heart_5_赤兔_1,标准包,否,赤兔,♥,红桃,5,红色,装备牌,-1坐骑,chitu
standard_heart_6_桃_1,标准包,否,桃,♥,红桃,6,红色,基本牌,回复牌,tao
standard_heart_6_乐不思蜀_1,标准包,否,乐不思蜀,♥,红桃,6,红色,锦囊牌,延时锦囊,lebusishu
standard_heart_7_桃_1,标准包,否,桃,♥,红桃,7,红色,基本牌,回复牌,tao
standard_heart_7_无中生有_1,标准包,否,无中生有,♥,红桃,7,红色,锦囊牌,普通锦囊 / 自用,wuzhongshengyou
standard_heart_8_桃_1,标准包,否,桃,♥,红桃,8,红色,基本牌,回复牌,tao
standard_heart_8_无中生有_1,标准包,否,无中生有,♥,红桃,8,红色,锦囊牌,普通锦囊 / 自用,wuzhongshengyou
standard_heart_9_桃_1,标准包,否,桃,♥,红桃,9,红色,基本牌,回复牌,tao
standard_heart_9_无中生有_1,标准包,否,无中生有,♥,红桃,9,红色,锦囊牌,普通锦囊 / 自用,wuzhongshengyou
standard_heart_10_杀_1,标准包,否,杀,♥,红桃,10,红色,基本牌,普通杀,sha
standard_heart_10_杀_2,标准包,否,杀,♥,红桃,10,红色,基本牌,普通杀,sha
standard_heart_J_杀_1,标准包,否,杀,♥,红桃,J,红色,基本牌,普通杀,sha
standard_heart_J_无中生有_1,标准包,否,无中生有,♥,红桃,J,红色,锦囊牌,普通锦囊 / 自用,wuzhongshengyou
standard_heart_Q_桃_1,标准包,否,桃,♥,红桃,Q,红色,基本牌,回复牌,tao
standard_heart_Q_过河拆桥_1,标准包,否,过河拆桥,♥,红桃,Q,红色,锦囊牌,普通锦囊 / 单体,guohechaiqiao
standard_heart_Q_闪电_1,标准包,是,闪电,♥,红桃,Q,红色,锦囊牌,延时锦囊,shandian
standard_heart_K_闪_1,标准包,否,闪,♥,红桃,K,红色,基本牌,响应牌,shan
standard_heart_K_爪黄飞电_1,标准包,否,爪黄飞电,♥,红桃,K,红色,装备牌,+1坐骑,juahuangfeidian
