card_id,name,pack,category,subtype,body_text,image_key,template_group,range
sha,杀,标准包,基本牌,普通杀,出牌阶段，对攻击范围内的一名角色使用。目标需打出一张【闪】，否则受到你造成的1点伤害。,sha,basic,
shan,闪,标准包+军争篇,基本牌,响应牌,当你成为【杀】的目标时，可以使用【闪】抵消之。,shan,basic,
tao,桃,标准包+军争篇,基本牌,回复牌,对自己使用，回复1点体力。任意角色进入濒死状态时，你可以对其使用，令其回复1点体力。,tao,basic,
taoyuanjieyi,桃园结义,标准包,锦囊牌,普通锦囊 / 群体,出牌阶段使用。所有角色各回复1点体力。,taoyuanjieyi,trick,
wanjianqifa,万箭齐发,标准包,锦囊牌,普通锦囊 / 群体,出牌阶段使用。除你外，每名角色需打出一张【闪】，否则受到你造成的1点伤害。,wanjianqifa,trick,
wugufengdeng,五谷丰登,标准包,锦囊牌,普通锦囊 / 群体,出牌阶段使用。亮出等同于存活角色数的牌堆顶牌，由你开始，每名角色依次选择并获得其中一张。,wugufengdeng,trick,
juedou,决斗,标准包,锦囊牌,普通锦囊 / 单体,出牌阶段，对一名其他角色使用。由其开始，你与其轮流打出一张【杀】；未打出者受到对方造成的1点伤害。,juedou,trick,
guohechaiqiao,过河拆桥,标准包,锦囊牌,普通锦囊 / 单体,出牌阶段，对区域内有牌的一名其他角色使用。弃置其区域内的一张牌。,guohechaiqiao,trick,
shunshouqianyang,顺手牵羊,标准包,锦囊牌,普通锦囊 / 单体,出牌阶段，对距离1以内且区域内有牌的一名其他角色使用。获得其区域内的一张牌。,shunshouqianyang,trick,
wuzhongshengyou,无中生有,标准包,锦囊牌,普通锦囊 / 自用,出牌阶段，对自己使用。摸两张牌。,wuzhongshengyou,trick,
wuxiekeji,无懈可击,标准包+军争篇,锦囊牌,普通锦囊 / 响应,在锦囊牌对目标生效前使用，抵消该锦囊牌对该目标的一次效果。,wuxiekeji,trick,
nanmanruqin,南蛮入侵,标准包,锦囊牌,普通锦囊 / 群体,出牌阶段使用。除你外，每名角色需打出一张【杀】，否则受到你造成的1点伤害。,nanmanruqin,trick,
jiedaosharen,借刀杀人,标准包,锦囊牌,普通锦囊 / 单体,出牌阶段，对装备武器的一名角色使用。令其对你指定的另一名角色使用一张【杀】；若其不如此做，你获得其武器。,jiedaosharen,trick,
lebusishu,乐不思蜀,标准包,锦囊牌,延时锦囊,出牌阶段，对一名其他角色使用。置于其判定区；判定结果若不为红桃，则其跳过出牌阶段。,lebusishu,delayed_trick,
